club,jugador,jugador_normalizado,dorsal,posicion,foto_url
Valencia CF,André Almeida,andre almeida,10,Mediocentro ofensivo,https://img.a.transfermarkt.technology/portrait/medium/375382-1547563680.png
Valencia CF,Arnaut Danjuma,arnaut danjuma,7,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/355861-1674657323.jpg
Valencia CF,Ryunosuke Sato,ryunosuke sato,39,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/948169-1772965432.JPG
Valencia CF,Sergi Canós,sergi canos,-,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/251845-1538466933.jpg
Valencia CF,Diego López,diego lopez,16,Extremo derecho,https://img.a.transfermarkt.technology/portrait/medium/617081-1683211924.jpg
Valencia CF,Luis Rioja,luis rioja,11,Extremo derecho,https://img.a.transfermarkt.technology/portrait/medium/278837-1647530464.jpg
Valencia CF,Dani Raba,dani raba,19,Mediapunta,https://img.a.transfermarkt.technology/portrait/medium/413262-1743493611.jpg
Valencia CF,Hugo Duro,hugo duro,9,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/573775-1683213249.jpg
Valencia CF,Umar Sadiq,umar sadiq,6,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/337715-1728040426.jpg
Valencia CF,Alberto Marí,alberto mari,-,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/634105-1690382984.jpg
Málaga CF,Alfonso Herrero,alfonso herrero,1,Portero,https://img.a.transfermarkt.technology/portrait/medium/129478-1725618323.jpg
Málaga CF,Carlos López,carlos lopez,13,Portero,https://img.a.transfermarkt.technology/portrait/medium/1004298-1725883415.jpg
Málaga CF,Fernando Calero,fernando calero,20,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/357884-1447238696.jpg
Málaga CF,Diego Murillo,diego murillo,16,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/635930-1725883727.jpg
Málaga CF,Einar Galilea,einar galilea,4,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/251046-1646598982.png
Málaga CF,Álex Pastor,alex pastor,5,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/398056-1543829456.jpg
Málaga CF,Ángel Recio,angel recio,15,Defensa central,
Málaga CF,José Salinas,jose salinas,12,Lateral izquierdo,https://img.a.transfermarkt.technology/portrait/medium/819590-1744371555.jpg
Málaga CF,Dani Sánchez,dani sanchez,-,Lateral izquierdo,https://img.a.transfermarkt.technology/portrait/medium/622951-1725885408.jpg
Málaga CF,Rafita Garrido,rafita garrido,31,Lateral derecho,https://img.a.transfermarkt.technology/portrait/medium/1064717-1781548686.jpg
Málaga CF,Carlos Puga,carlos puga,3,Lateral derecho,https://img.a.transfermarkt.technology/portrait/medium/776703-1725885464.jpg
Málaga CF,Pablo Martínez,pablo martinez,18,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/568835-1632129599.jpg
